league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2324,Everton,Séamus Coleman,IRL,DF,34,1988,12,7,665,7.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Everton,Tom Cannon,IRL,FW,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Everton,Tyler Onyango,ENG,MF,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Everton,Vitaliy Mykolenko,UKR,DF,24,1999,28,28,2469,27.4,2,0,2,2,0,0,1,0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2324,Everton,Youssef Chermiti,POR,FW,19,2004,18,1,208,2.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Fulham,Adama Traoré,ESP,MF,27,1996,17,1,377,4.2,2,3,5,2,0,0,2,0,0.48,0.72,1.19,0.48,1.19
ENG-Premier League,2324,Fulham,Aleksandar Mitrović,SRB,FW,28,1994,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Fulham,Alex Iwobi,NGA,MF,27,1996,30,25,2192,24.4,5,2,7,5,0,0,2,0,0.21,0.08,0.29,0.21,0.29
ENG-Premier League,2324,Fulham,Andreas Pereira,BRA,MF,27,1996,37,34,2613,29.0,3,7,10,3,0,0,6,0,0.1,0.24,0.34,0.1,0.34
ENG-Premier League,2324,Fulham,Antonee Robinson,USA,DF,25,1997,37,37,3265,36.3,0,6,6,0,0,0,6,0,0.0,0.17,0.17,0.0,0.17
ENG-Premier League,2324,Fulham,Armando Broja,ALB,FW,21,2001,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,1.02,1.02,0.0,1.02
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31,1992,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Fulham,Bobby De Cordova-Reid,JAM,"MF,FW",30,1993,33,17,1423,15.8,6,2,8,6,0,0,4,0,0.38,0.13,0.51,0.38,0.51
ENG-Premier League,2324,Fulham,Calvin Bassey,NGA,DF,23,1999,29,25,2303,25.6,1,0,1,1,0,0,6,1,0.04,0.0,0.04,0.04,0.04
